Subject_ID,Age,Comments,Distractions,Distracto,Handedness,Ethnicity,languageCount,Mouse Type,musicInstrument,musicPractice,musicTraining,Race,Returner,Sex,Target File,Interrupted,Experiment Name,Start Time,Trial Number,Target Angle,Cursor FB,Rotation,Hand Angle,RT,MT,Search Time,Reach FB,Hand_Path,Start_X,Start_Y,Screen_Height,Screen_Width,Group
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.27.725,77,225,online_fb,0,307.8098995,935,275,1347,good_reach,"{""last_y"": 548.5, ""sample_3_y"": 535.5, ""first_y"": 399.5, ""last_time"": 275, ""sample_3_x"": 842.5, ""last_x"": 861.5, ""sample_1_time"": 75, ""sample_2_y"": 514.5, ""first_time"": 8, ""sample_2_x"": 817.5, ""first_x"": 740.5, ""sample_4_time"": 275, ""count"": 33, ""sample_4_y"": 548.5, ""sample_3_time"": 208, ""sample_0_x"": 740.5, ""sample_1_y"": 480.5, ""sample_1_x"": 791.5, ""sample_4_x"": 861.5, ""sample_0_time"": 8, ""sample_2_time"": 141, ""sample_0_y"": 399.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.30.42,78,225,online_fb,0,314.3097228,616,325,1324,good_reach,"{""sample_2_y"": 464.5, ""last_time"": 325, ""sample_2_time"": 166, ""sample_0_y"": 379.5, ""last_y"": 533.5, ""sample_0_x"": 731.5, ""last_x"": 883.5, ""sample_4_y"": 533.5, ""sample_3_y"": 494.5, ""sample_4_time"": 325, ""sample_1_time"": 84, ""sample_0_time"": 8, ""sample_2_x"": 816.5, ""first_y"": 379.5, ""sample_1_y"": 416.5, ""sample_3_x"": 845.5, ""first_x"": 731.5, ""sample_4_x"": 883.5, ""sample_3_time"": 250, ""sample_1_x"": 773.5, ""count"": 39, ""first_time"": 8}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.32.93,79,225,online_fb,0,314.6506398,618,209,1171,good_reach,"{""sample_3_y"": 511.5, ""sample_0_x"": 727.5, ""sample_4_y"": 530.5, ""sample_4_x"": 882.5, ""sample_1_x"": 767.5, ""sample_1_time"": 59, ""sample_2_x"": 811.5, ""first_y"": 391.5, ""sample_0_y"": 391.5, ""sample_1_y"": 443.5, ""sample_2_y"": 480.5, ""last_time"": 209, ""sample_0_time"": 9, ""sample_3_time"": 159, ""first_x"": 727.5, ""last_y"": 530.5, ""count"": 25, ""first_time"": 9, ""sample_4_time"": 209, ""sample_2_time"": 110, ""last_x"": 882.5, ""sample_3_x"": 857.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.34.34,80,225,online_fb,0,318.2655879,457,184,1249,good_reach,"{""sample_1_x"": 784.5, ""last_x"": 895.5, ""sample_4_time"": 183, ""first_x"": 739.5, ""first_time"": 9, ""sample_1_time"": 50, ""sample_0_y"": 390.5, ""last_y"": 522.5, ""sample_2_y"": 474.5, ""first_y"": 390.5, ""sample_4_x"": 895.5, ""sample_0_x"": 739.5, ""sample_4_y"": 522.5, ""sample_3_y"": 501.5, ""sample_3_x"": 873.5, ""last_time"": 183, ""sample_1_y"": 430.5, ""sample_2_time"": 100, ""sample_2_x"": 840.5, ""count"": 22, ""sample_0_time"": 9, ""sample_3_time"": 142}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.36.751,81,45,online_fb,0,53.57386458,1367,159,1139,good_reach,"{""sample_2_y"": 268.5, ""sample_0_time"": 8, ""first_y"": 346.5, ""first_x"": 723.5, ""sample_3_time"": 125, ""sample_0_y"": 346.5, ""sample_1_time"": 42, ""count"": 19, ""sample_4_time"": 158, ""sample_4_x"": 857.5, ""sample_3_y"": 212.5, ""sample_3_x"": 822.5, ""sample_2_time"": 83, ""last_y"": 178.5, ""sample_4_y"": 178.5, ""first_time"": 8, ""sample_0_x"": 723.5, ""sample_1_y"": 320.5, ""last_time"": 158, ""sample_2_x"": 772.5, ""sample_1_x"": 737.5, ""last_x"": 857.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.39.418,82,45,online_fb,0,38.91364865,1403,109,1104,good_reach,"{""sample_2_y"": 282.5, ""sample_3_y"": 251.5, ""sample_1_x"": 772.5, ""sample_3_time"": 84, ""count"": 13, ""sample_3_x"": 852.5, ""sample_2_time"": 58, ""last_x"": 911.5, ""sample_4_x"": 911.5, ""sample_1_y"": 317.5, ""last_time"": 108, ""sample_4_y"": 210.5, ""first_y"": 349.5, ""first_x"": 740.5, ""sample_0_time"": 8, ""first_time"": 8, ""sample_2_x"": 813.5, ""sample_0_y"": 349.5, ""sample_0_x"": 740.5, ""sample_1_time"": 33, ""sample_4_time"": 108, ""last_y"": 210.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.42.101,83,45,online_fb,0,47.08256528,983,184,1466,good_reach,"{""sample_0_time"": 8, ""sample_0_x"": 736.5, ""sample_1_time"": 50, ""sample_0_y"": 330.5, ""sample_4_y"": 194.5, ""sample_2_y"": 232.5, ""sample_3_time"": 141, ""sample_1_y"": 277.5, ""last_time"": 183, ""sample_2_x"": 831.5, ""first_y"": 330.5, ""count"": 22, ""last_x"": 878.5, ""sample_4_x"": 878.5, ""last_y"": 194.5, ""sample_3_x"": 859.5, ""sample_2_time"": 100, ""sample_1_x"": 779.5, ""sample_4_time"": 183, ""first_x"": 736.5, ""sample_3_y"": 211.5, ""first_time"": 8}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.45.410,84,225,online_fb,0,294.362453,1071,659,1527,good_reach,"{""sample_3_x"": 716.5, ""sample_2_y"": 455.5, ""sample_3_y"": 467.5, ""sample_2_time"": 325, ""first_y"": 386.5, ""sample_1_time"": 150, ""sample_2_x"": 634.5, ""sample_4_x"": 815.5, ""first_time"": 8, ""sample_4_time"": 658, ""first_x"": 713.5, ""sample_0_x"": 713.5, ""sample_3_time"": 517, ""last_x"": 815.5, ""last_time"": 658, ""sample_4_y"": 577.5, ""sample_0_y"": 386.5, ""sample_0_time"": 8, ""sample_1_y"": 423.5, ""last_y"": 577.5, ""count"": 69, ""sample_1_x"": 659.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.48.718,85,135,online_fb,0,46.90338885,935,350,857,good_reach,"{""first_time"": 8, ""sample_0_y"": 348.5, ""sample_3_x"": 849.5, ""sample_3_y"": 218.5, ""sample_3_time"": 267, ""last_y"": 194.5, ""sample_2_time"": 183, ""sample_1_y"": 284.5, ""count"": 42, ""sample_2_x"": 836.5, ""last_time"": 350, ""sample_4_y"": 194.5, ""sample_4_x"": 879.5, ""sample_0_x"": 730.5, ""sample_0_time"": 8, ""first_y"": 348.5, ""sample_1_time"": 92, ""last_x"": 879.5, ""sample_2_y"": 230.5, ""sample_1_x"": 784.5, ""sample_4_time"": 350, ""first_x"": 730.5}",719.5,365.5,731,1439,Katie2
165166,18,NA,[''],NA,righth,non-hispanic,3+,trackpad,yes,3,"""10+""",asian,no,female,./tgt_files/csv_tgt_file_2025-03-25.json,no,Katie2,4/2/2025 15:23.52.369,86,315,online_fb,0,313.9583733,788,701,2110,good_reach,"{""first_y"": 377.5, ""sample_3_time"": 575, ""sample_0_time"": 9, ""sample_3_y"": 507.5, ""sample_4_x"": 881.5, ""sample_1_y"": 393.5, ""sample_0_y"": 377.5, ""count"": 64, ""last_x"": 881.5, ""sample_2_y"": 437.5, ""sample_1_time"": 308, ""sample_4_y"": 533.5, ""sample_1_x"": 751.5, ""first_time"": 9, ""sample_3_x"": 846.5, ""sample_2_time"": 442, ""sample_0_x"": 734.5, ""first_x"": 734.5, ""last_time"": 700, ""sample_2_x"": 788.5, ""last_y"": 533.5, ""sample_4_time"": 700}",719.5,365.5,731,1439,Katie2
